"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Ireland","IRL","Land area (sq. km)","AG.LND.TOTL.K2","","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","","",
"Iran, Islamic Rep.","IRN","Land area (sq. km)","AG.LND.TOTL.K2","","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1622500","1622500","1622500","1622500","1622500","1622500","1622500","","",
"Iraq","IRQ","Land area (sq. km)","AG.LND.TOTL.K2","","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","434320","434320","434320","434320","434128","434128","434128","434128","434128","434128","434130","434130","434130","434130","434130","","",
"Iceland","ISL","Land area (sq. km)","AG.LND.TOTL.K2","","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100830","100830","100830","100830","100830","100830","","",
"Israel","ISR","Land area (sq. km)","AG.LND.TOTL.K2","","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","","",
"Italy","ITA","Land area (sq. km)","AG.LND.TOTL.K2","","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","295718","295718","295718","295718","295718","295718","295718","295718","295718","295718","295718","295718","295718","295718","295718","295718","295718","295718","295718","295717","295717","295717","295720","295720","","",
"Jamaica","JAM","Land area (sq. km)","AG.LND.TOTL.K2","","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","","",
"Jordan","JOR","Land area (sq. km)","AG.LND.TOTL.K2","","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88794","88794","88794","88794","88794","","",
"Japan","JPN","Land area (sq. km)","AG.LND.TOTL.K2","","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366600","366600","366600","366500","366500","366400","366400","366400","366300","366400","366200","366200","364700","364600","364700","364600","364600","364600","364600","364600","364600","364600","364600","364600","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364569.27","","",
"Kazakhstan","KAZ","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","","",
"Kenya","KEN","Land area (sq. km)","AG.LND.TOTL.K2","","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","571096.05","573052.1","575008.15","576964.2","578920.25","580876.3","580876.3","580876.3","580876.3","","",
"Kyrgyz Republic","KGZ","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","","",
"Cambodia","KHM","Land area (sq. km)","AG.LND.TOTL.K2","","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","","",
"Kiribati","KIR","Land area (sq. km)","AG.LND.TOTL.K2","","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","","",
"St. Kitts and Nevis","KNA","Land area (sq. km)","AG.LND.TOTL.K2","","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","","",
"Korea, Rep.","KOR","Land area (sq. km)","AG.LND.TOTL.K2","","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96740","96790","96800","96820","96850","96880","96920","96990","97060","97200","97190","97310","97426","97430","97445","97489","97510","97520","97600","97600","97600","97600","97600","","",
"Kuwait","KWT","Land area (sq. km)","AG.LND.TOTL.K2","","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","","",
"Latin America & Caribbean (excluding high income)","LAC","Land area (sq. km)","AG.LND.TOTL.K2","","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925467.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17925337.61","17896857.61","17896857.61","17896857.61","17896857.61","17895847.61","17895857.61","17895867.61","17895897.61","17895887.61","17895897.61","17895897.61","17895897.61","17895897.61","17896320.61","17896106.61","17893677.61","17893477.61","17893557.61","17893497.61","17893257.61","17893257.61","17893145.63","17893145.63","17893145.63","17891857.672","","","",
"Lao PDR","LAO","Land area (sq. km)","AG.LND.TOTL.K2","","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","","",
"Lebanon","LBN","Land area (sq. km)","AG.LND.TOTL.K2","","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","","",
"Liberia","LBR","Land area (sq. km)","AG.LND.TOTL.K2","","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","","",
"Libya","LBY","Land area (sq. km)","AG.LND.TOTL.K2","","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","","",
"St. Lucia","LCA","Land area (sq. km)","AG.LND.TOTL.K2","","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","","",
"Latin America & Caribbean","LCN","Land area (sq. km)","AG.LND.TOTL.K2","","20075279.61","20075279.61","20075279.61","20075279.61","20075279.61","20075279.61","20075279.61","20075279.61","20075279.61","20075279.61","20075279.61","20075279.61","20075279.61","20075279.61","20075419.61","20075289.61","20075289.61","20075289.61","20075289.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20075199.61","20046719.61","20046719.61","20046719.61","20046719.61","20045709.61","20045719.61","20045729.61","20045759.61","20045749.61","20045759.61","20045759.61","20045759.61","20045759.61","20046710.61","20046496.61","20044067.61","20043647.61","20043727.61","20043667.61","20043427.61","20043487.61","20043375.63","20043375.63","20043375.63","20042087.672","","","",
"Least developed countries: UN classification","LDC","Land area (sq. km)","AG.LND.TOTL.K2","","16609841","16609841","16609841","16609841","16609841","16609841","16609841","16609841","16609841","16609841","16609841","16609841","16609841","16609441","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","16609041","17710041","17710041","17710041","17710041","17710041","17710041","17710041","17710391","17710391","17710391","17710391","17858850.925","17858836.126","17858938.231","17859034.806","17858786.794","17858809.192","17859457.103","17859770.089","20359560.22","20359452.378","20359405.485","20359459.175","20359166.959","20359125.033","20359090.114","20359102.446","20359033.229","20359033.229","20359033.229","","","",
"Low income","LIC","Land area (sq. km)","AG.LND.TOTL.K2","","10995740","10995740","10995740","10995740","10995740","10995740","10995740","10995740","10995740","10995740","10995740","10995740","10995740","10995340","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","10994940","11095940","11095940","11095940","11095940","11095940","11095940","11095940","11095940","11095940","11095940","11095750","11115712.625","11115755.326","11115794.031","11115832.606","11115857.494","11115869.592","11116565.103","11116843.989","13616767.12","13616739.278","13616726.185","13616778.775","13616767.459","13616761.233","13616767.714","13616770.546","13616730.829","13616730.829","13618280.538","","","",
"Liechtenstein","LIE","Land area (sq. km)","AG.LND.TOTL.K2","","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","","",
"Sri Lanka","LKA","Land area (sq. km)","AG.LND.TOTL.K2","","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","61893","61893","61893","61864","61864.47","61860","61860","61860","61860","","",
"Lower middle income","LMC","Land area (sq. km)","AG.LND.TOTL.K2","","17945694","17945694","17945694","17945694","17945694","17945694","17945694","17945694","17945694","17945694","17945694","17945694","17945624","17945584","17945564","17945564","17945564","17945564","17945564","17945564","17945564","17945564","17945564","17945564","17945564","17945564","17945564","17945564","17945564","17945564","17946264","18703424","18703424","18696501","18696501","18696501","18696501","18696501","18696501","18692986","18692962","18692422","18691908","18690081","18692784","18692853","18692800","18692807","18693285","18693724","18693661","18693685","18693154.33","18692344","18696354","18696076","18696059","18696001","18695976.47","18696034","18696045","18690019","","","",
"Low & middle income","LMY","Land area (sq. km)","AG.LND.TOTL.K2","","68208700.352","68208700.352","68208700.352","68208700.352","68208700.352","68208700.352","68208700.352","68208700.352","68208700.352","68208700.352","68208700.352","68208700.352","68208630.352","68208190.352","68207770.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68207640.352","68208520.352","73208265.352","73309309.352","73302362.352","73302332.352","73302308.352","73302299.352","73273658.352","73273267.352","73335584.352","73335549.552","73333987.778","73340561.368","73358483.754","73361314.827","73465365.134","73465119.109","73465145.991","73462567.336","73463527.131","73464102.546","75963834.677","75960686.271","75959701.716","75963852.785","75963519.469","75956958.243","75956985.624","75956840.546","75953742.862","75968849.929","75963045.469","","","",
"Lesotho","LSO","Land area (sq. km)","AG.LND.TOTL.K2","","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","","",
"Late-demographic dividend","LTE","Land area (sq. km)","AG.LND.TOTL.K2","","24766870.742","24766870.742","24766870.742","24766870.742","24766870.742","24766870.742","24766870.742","24766870.742","24766870.742","24766870.742","24766870.742","24766870.742","24766830.742","24766830.742","24766970.742","24766970.742","24766970.742","24766970.742","24766970.742","24766970.742","24766970.742","24766970.742","24766970.742","24766970.742","24766970.742","24766970.742","24766970.742","24766970.742","24765980.742","24765980.742","24766090.742","44391634.742","44436044.742","44431234.742","44428244.742","44427844.742","44428534.742","44431109.742","44437932.742","44416123.742","44415246.942","44415380.168","44422250.758","44422418.519","44425322.891","44525522.493","44524986.893","44524344.887","44524430.134","44524774.418","44524759.947","44524782.947","44525435.383","44525704.921","44524904.4","44524912.4","44524210.4","44524754.3","44524698.37","44521586.403","44521646","44521535.789","","","",
"Lithuania","LTU","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62675","62675","62675","62674","62674","62675","62650","62650","62642","62641","62630","62620","62620","62610","62604","62600","","",
"Luxembourg","LUX","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","2574.46","","",
"Latvia","LVA","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62227","62230","62230","62230","62230","","",
"Macao SAR, China","MAC","Land area (sq. km)","AG.LND.TOTL.K2","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","26","27","27","28","28","28.6","29.2","29.2","29.5","29.7","29.9","29.9","30.3","30.3","30.4","30.5","30.8","32.9","32.9","32.9","33","33","33","","",
"St. Martin (French part)","MAF","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","50","50","50","50","50","50","50","50","50","","",
"Morocco","MAR","Land area (sq. km)","AG.LND.TOTL.K2","","446340","446340","446340","446340","446340","446340","446340","446340","446340","446340","446340","446340","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","","",
"Monaco","MCO","Land area (sq. km)","AG.LND.TOTL.K2","","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.084","2.084","2.084","","",
"Moldova","MDA","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32870","32950","32940","32930","32930","32920","32910","32900","32880","32880","32880","32870","32880","32890","32890","32890","32890","32890","32850","32850","32860","32880","32880","32880","32880","32890","32885.3","32885.9","32884.6","32890","32880","32930","","",
"Madagascar","MDG","Land area (sq. km)","AG.LND.TOTL.K2","","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581795","581795","581800","581800","581800","581800","581800","581800","581800","581800","581800","581800","581800","","",
"Maldives","MDV","Land area (sq. km)","AG.LND.TOTL.K2","","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","298","","",
"Middle East, North Africa, Afghanistan & Pakistan","MEA","Land area (sq. km)","AG.LND.TOTL.K2","","12649380","12649380","12649380","12649380","12649380","12649380","12649380","12649380","12649380","12649380","12649380","12649380","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649340","12649360","12649360","12649360","12649360","12649360","12649360","12649360","12649360","12649360","12649360","12649360","12649180","12649170","12649180","12649240","12649260","12649270","12646760","12646752","12646757","12646760","12646568","12646449","12646457","12646458","12640199","12640197","12640213","12640218","12640228","12614112.709","","","",
"Mexico","MEX","Land area (sq. km)","AG.LND.TOTL.K2","","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","","",
"Marshall Islands","MHL","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","","",
"Middle income","MIC","Land area (sq. km)","AG.LND.TOTL.K2","","57212960.352","57212960.352","57212960.352","57212960.352","57212960.352","57212960.352","57212960.352","57212960.352","57212960.352","57212960.352","57212960.352","57212960.352","57212890.352","57212850.352","57212830.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57212700.352","57213580.352","62213325.352","62213369.352","62206422.352","62206392.352","62206368.352","62206359.352","62177718.352","62177327.352","62239644.352","62239609.552","62238047.778","62244811.368","62242771.129","62245559.501","62349571.103","62349286.503","62349288.497","62346697.744","62346962.028","62347258.557","62347067.557","62343946.993","62342975.531","62347074.01","62346752.01","62340197.01","62340217.91","62340070","62337012.033","62352119.1","62344764.931","","","",
"North Macedonia","MKD","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25230","25230","25220","25220","25220","25220","25220","25220","25220","25220","25220","25220","25220","25220","25220","25220","25220","","",
"Mali","MLI","Land area (sq. km)","AG.LND.TOTL.K2","","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","","",
"Malta","MLT","Land area (sq. km)","AG.LND.TOTL.K2","","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","","",
"Myanmar","MMR","Land area (sq. km)","AG.LND.TOTL.K2","","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653420","653360","653470","653520","653310","653300","653260","653290","653150","653080","653080","653080","652780","652750","652700","652700","652670","652670","652670","652670","","",
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","MNA","Land area (sq. km)","AG.LND.TOTL.K2","","10067090","10067090","10067090","10067090","10067090","10067090","10067090","10067090","10067090","10067090","10067090","10067090","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10067050","10066860","10066840","10066840","10066900","10066910","10066910","10064400","10064390","10064390","10064390","10064198","10064198","10064199","10064199","10057939","10057939","10057953","10057953","10057958","10053482.709","","","",
"Montenegro","MNE","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","","",
"Mongolia","MNG","Land area (sq. km)","AG.LND.TOTL.K2","","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.742","1547438.968","1554686.058","1554444.019","1554444.091","1557459.093","1557459.093","1557465.087","1557465.134","1557292.418","1557251.947","1557251.947","1557253.053","1557252.921","1557255.4","1557255.4","1557255.4","1557255","1557258","1557506.803","1557507","1557510","1558499.786","","",
"Northern Mariana Islands","MNP","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","","",
"Mozambique","MOZ","Land area (sq. km)","AG.LND.TOTL.K2","","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","","",
"Mauritania","MRT","Land area (sq. km)","AG.LND.TOTL.K2","","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","","",
